ID,Shopify Name,Sawadeekard Name,Before,Change,After
087/198,[ENG] SV01 Scarlet Violet Base Set: 087/198 Shuppet C (Non-Foil),Shuppet C (Non-Foil),0.5,0.0,0.5
087/198,[ENG] SV01 Scarlet Violet Base Set: 087/198 Shuppet C (Reverse Holo),Shuppet C (Reverse Holo),1.0,0.0,1.0
088/198,[ENG] SV01 Scarlet Violet Base Set: 088/198 Banette EX RR (Double Rare),Banette EX RR (Double Rare),1.8,0.19999999999999996,2.0
089/198,[ENG] SV01 Scarlet Violet Base Set: 089/198 Drifloon C (Non-Foil),Drifloon C (Non-Foil),0.5,0.0,0.5
089/198,[ENG] SV01 Scarlet Violet Base Set: 089/198 Drifloon C (Reverse Holo),Drifloon C (Reverse Holo),1.0,0.0,1.0
090/198,[ENG] SV01 Scarlet Violet Base Set: 090/198 Drifblim U (Non-Foil),Drifblim U (Non-Foil),0.5,0.0,0.5
090/198,[ENG] SV01 Scarlet Violet Base Set: 090/198 Drifblim U (Reverse Holo),Drifblim U (Reverse Holo),1.2,-0.19999999999999996,1.0
091/198,[ENG] SV01 Scarlet Violet Base Set: 091/198 Flabebe C (Non-Foil),Flabebe C (Non-Foil),0.5,0.0,0.5
091/198,[ENG] SV01 Scarlet Violet Base Set: 091/198 Flabebe C (Reverse Holo),Flabebe C (Reverse Holo),1.0,0.0,1.0
092/198,[ENG] SV01 Scarlet Violet Base Set: 092/198 Floette C (Non-Foil),Floette C (Non-Foil),0.5,0.0,0.5
092/198,[ENG] SV01 Scarlet Violet Base Set: 092/198 Floette C (Reverse Holo),Floette C (Reverse Holo),1.0,0.0,1.0
093/198,[ENG] SV01 Scarlet Violet Base Set: 093/198 Florges U (Non-Foil),Florges U (Non-Foil),0.5,0.0,0.5
093/198,[ENG] SV01 Scarlet Violet Base Set: 093/198 Florges U (Reverse Holo),Florges U (Reverse Holo),1.0,0.0,1.0
094/198,[ENG] SV01 Scarlet Violet Base Set: 094/198 Dedenne C (Non-Foil),Dedenne C (Non-Foil),0.5,0.0,0.5
094/198,[ENG] SV01 Scarlet Violet Base Set: 094/198 Dedenne C (Reverse Holo),Dedenne C (Reverse Holo),1.0,0.0,1.0
095/198,[ENG] SV01 Scarlet Violet Base Set: 095/198 Dedenne C (Non-Foil),Dedenne C (Non-Foil),0.5,0.0,0.5
095/198,[ENG] SV01 Scarlet Violet Base Set: 095/198 Dedenne C (Reverse Holo),Dedenne C (Reverse Holo),1.0,0.0,1.0
096/198,[ENG] SV01 Scarlet Violet Base Set: 096/198 Klefki R (Foil),Klefki R (Foil),0.6,0.30000000000000004,0.9
096/198,[ENG] SV01 Scarlet Violet Base Set: 096/198 Klefki R (Reverse Holo),Klefki R (Reverse Holo),1.3,-0.10000000000000009,1.2
097/198,[ENG] SV01 Scarlet Violet Base Set: 097/198 Fidough C (Non-Foil),Fidough C (Non-Foil),0.6,-0.09999999999999998,0.5
097/198,[ENG] SV01 Scarlet Violet Base Set: 097/198 Fidough C (Reverse Holo),Fidough C (Reverse Holo),1.0,0.0,1.0
