ID,Name,Price in USD,Price in SGD
092/162,Mudsdale [Fighting] [U - Uncommon] (Reverse Holo),0.35,1.0
093/162,Rolycoly [Fighting] [C - Common] (Non-Foil),0.25,0.5
093/162,Rolycoly [Fighting] [C - Common] (Reverse Holo),0.35,1.0
094/162,Carkol [Fighting] [C - Common] (Non-Foil),0.25,0.5
094/162,Carkol [Fighting] [C - Common] (Reverse Holo),0.35,1.0
095/162,Coalossal [Fighting] [U - Uncommon] (Non-Foil),0.25,0.5
095/162,Coalossal [Fighting] [U - Uncommon] (Reverse Holo),0.35,1.0
096/162,Great Tusk [Fighting] [U - Uncommon] (Non-Foil),0.25,0.5
096/162,Great Tusk [Fighting] [U - Uncommon] (Reverse Holo),0.35,1.0
097/162,Great Tusk [Fighting] [U - Uncommon] (Non-Foil),0.39,0.5
097/162,Great Tusk [Fighting] [U - Uncommon] (Reverse Holo),0.49,1.0
098/162,Sandy Shocks [Fighting] [U - Uncommon] (Non-Foil),0.49,0.7
098/162,Sandy Shocks [Fighting] [U - Uncommon] (Reverse Holo),0.79,1.1
099/162,Iron Boulder ex [Fighting] [RR - Double Rare] (Foil),1.49,2.0
100/162,Ekans [Darkness] [C - Common] (Non-Foil),0.25,0.5
100/162,Ekans [Darkness] [C - Common] (Reverse Holo),0.35,1.0
101/162,Arbok [Darkness] [C - Common] (Non-Foil),0.25,0.5
101/162,Arbok [Darkness] [C - Common] (Reverse Holo),0.35,1.0
102/162,Gastly [Darkness] [C - Common] (Non-Foil),0.25,0.5
102/162,Gastly [Darkness] [C - Common] (Reverse Holo),0.35,1.0
103/162,Haunter [Darkness] [C - Common] (Non-Foil),0.35,0.5
103/162,Haunter [Darkness] [C - Common] (Reverse Holo),0.35,1.0
104/162,Gengar ex [Darkness] [RR - Double Rare] (Foil),2.29,3.1
105/162,Poochyena [Darkness] [C - Common] (Non-Foil),0.25,0.5
105/162,Poochyena [Darkness] [C - Common] (Reverse Holo),0.35,1.0
106/162,Mightyena [Darkness] [C - Common] (Non-Foil),0.25,0.5
106/162,Mightyena [Darkness] [C - Common] (Reverse Holo),0.35,1.0
107/162,Sableye [Darkness] [U - Uncommon] (Non-Foil),0.25,0.5
107/162,Sableye [Darkness] [U - Uncommon] (Reverse Holo),0.35,1.0
108/162,Farigiraf ex [Darkness] [RR - Double Rare] (Foil),1.49,2.0
109/162,Roaring Moon [Darkness] [R - Rare] (Foil),0.49,0.7
109/162,Roaring Moon [Darkness] [R - Rare] (Reverse Holo),1.49,2.0
110/162,Forrestress [Metal] [U - Uncommon] (Non-Foil),0.25,0.5
