ID,Name,Price in USD,Price in SGD
144/182,Porygon-Z R (Foil),0.25,0.5
144/182,Porygon-Z R (Reverse Holo),0.35,1.0
145/182,Aipom C (Non-Foil),0.35,0.5
145/182,Aipom C (Reverse Holo),0.35,1.0
146/182,Ambipom U (Non-Foil),1.49,2.0
146/182,Ambipom U (Reverse Holo),0.35,1.0
147/182,Miltank C (Non-Foil),0.35,0.5
147/182,Miltank C (Reverse Holo),0.35,1.0
148/182,Whismur C (Non-Foil),1.49,2.0
148/182,Whismur C (Reverse Holo),0.35,1.0
149/182,Loudred C (Non-Foil),0.25,0.5
149/182,Loudred C (Reverse Holo),0.35,1.0
150/182,Exploud U (Non-Foil),1.99,2.7
150/182,Exploud U (Reverse Holo),0.49,1.0
151/182,Spinda C (Non-Foil),1.49,2.0
151/182,Spinda C (Reverse Holo),0.39,1.0
152/182,Swablu C (Non-Foil),0.25,0.5
152/182,Swablu C (Reverse Holo),0.35,1.0
153/182,Tandemaus C (Non-Foil),0.25,0.5
153/182,Tandemaus C (Reverse Holo),0.49,1.0
155/182,Maushold ex RR (Foil),0.25,0.5
156/182,Bombirdier ex RR (Foil),0.35,0.5
157/182,Cyclizar U (Non-Foil),0.25,0.5
157/182,Cyclizar U (Reverse Holo),0.35,1.0
158/182,Iron Jugulis R (Foil),0.25,0.5
158/182,Iron Jugulis R (Reverse Holo),0.35,1.0
159/182,Ancient Booster Energy Capsule U (Non-Foil),0.25,0.5
159/182,Ancient Booster Energy Capsule U (Reverse Holo),0.35,1.0
160/182,Counter Catcher U (Non-Foil),0.25,0.5
160/182,Counter Catcher U (Reverse Holo),0.35,1.0
161/182,Cursed Duster U (Non-Foil),0.25,0.5
161/182,Cursed Duster U (Reverse Holo),0.49,1.0
162/182,Defiance Vest U (Non-Foil),0.25,0.5
162/182,Defiance Vest U (Reverse Holo),0.35,1.0
163/182,Earthen Vessel U (Non-Foil),0.25,0.5
163/182,Earthen Vessel U (Reverse Holo),0.35,1.0
164/182,Future Booster Energy Capsule U (Non-Foil),0.25,0.5
164/182,Future Booster Energy Capsule U (Reverse Holo),0.35,1.0
165/182,Larry C (Non-Foil),0.25,0.5
165/182,Larry C (Reverse Holo),0.35,1.0
166/182,Luxurious Cape U (Non-Foil),0.25,0.5
166/182,Luxurious Cape U (Reverse Holo),0.35,1.0
167/182,Mela U (Non-Foil),1.49,2.0
167/182,Mela U (Reverse Holo),0.35,1.0
168/182,Norman U (Non-Foil),1.49,2.0
168/182,Norman U (Reverse Holo),0.35,1.0
169/182,Parasol Lady U (Non-Foil),0.25,0.5
169/182,Parasol Lady U (Reverse Holo),0.35,1.0
170/182,Professor Sada's Vitality U (Non-Foil),0.35,0.5
170/182,Professor Sada's Vitality U (Reverse Holo),0.35,1.0
171/182,Professor Turo's Scenario U (Non-Foil),0.35,0.5
171/182,Professor Turo's Scenario U (Reverse Holo),0.49,1.0
172/182,Rika U (Non-Foil),2.48,3.3
172/182,Rika U (Reverse Holo),0.79,1.1
173/182,Roark U (Non-Foil),0.25,0.5
173/182,Roark U (Reverse Holo),2.29,3.1
174/182,Shauntal U (Non-Foil),0.25,0.5
174/182,Shauntal U (Reverse Holo),0.35,1.0
175/182,Snorlax Doll U (Non-Foil),4.49,6.0
175/182,Snorlax Doll U (Reverse Holo),0.39,1.0
176/182,Technical Machine: Blindside U (Non-Foil),0.25,0.5
176/182,Technical Machine: Blindside U (Reverse Holo),5.49,7.4
177/182,Technical Machine: Devolution U (Non-Foil),0.39,0.5
177/182,Technical Machine: Devolution U (Reverse Holo),0.59,1.0
178/182,Technical Machine: Evolution U (Non-Foil),0.25,0.5
178/182,Technical Machine: Evolution U (Reverse Holo),0.35,1.0
179/182,Technical Machine: Turbo Energize U (Non-Foil),0.35,0.5
179/182,Technical Machine: Turbo Energize U (Reverse Holo),0.59,1.0
180/182,Techno Radar U (Non-Foil),0.35,0.5
180/182,Techno Radar U (Reverse Holo),0.59,1.0
181/182,Tulip U (Non-Foil),0.35,0.5
181/182,Tulip U (Reverse Holo),0.35,1.0
182/182,Medical Energy U (Non-Foil),0.65,0.9
182/182,Medical Energy U (Reverse Holo),0.35,1.0
183/182,Crustle IR (Foil),0.49,0.7
184/182,Dottler IR (Foil),0.25,0.5
