ID,Name,Price in USD,Price in SGD
111/167,Okidogi [Fighting] [R - Rare] (Reverse Holo),0.75,1.0
112/167,Conerstone Mask Ogerpon ex [Fighting] [RR - Double Rare] (Foil),1.49,2.0
113/167,Poochyena [Darkness] [C - Common] (Non-Foil),0.25,0.5
113/167,Poochyena [Darkness] [C - Common] (Reverse Holo),0.35,1.0
114/167,Mightyena [Darkness] [U - Uncommon] (Non-Foil),0.25,0.5
114/167,Mightyena [Darkness] [U - Uncommon] (Reverse Holo),0.35,1.0
115/167,Venipede [Darkness] [C - Common] (Non-Foil),0.25,0.5
115/167,Venipede [Darkness] [C - Common] (Reverse Holo),0.39,1.0
116/167,Whirlipede [Darkness] [C - Common] (Non-Foil),0.25,0.5
116/167,Whirlipede [Darkness] [C - Common] (Reverse Holo),0.39,1.0
117/167,Scolipede [Darkness] [U - Uncommon] (Non-Foil),0.25,0.5
117/167,Scolipede [Darkness] [U - Uncommon] (Reverse Holo),0.39,1.0
118/167,Brute Bonnet [Darkness] [U - Uncommon] (Non-Foil),0.25,0.5
118/167,Brute Bonnet [Darkness] [U - Uncommon] (Reverse Holo),0.39,1.0
119/167,Skarmory [Metal] [C - Common] (Non-Foil),0.25,0.5
119/167,Skarmory [Metal] [C - Common] (Reverse Holo),0.35,1.0
120/167,Aron [Metal] [C - Common] (Non-Foil),0.25,0.5
120/167,Aron [Metal] [C - Common] (Reverse Holo),0.39,1.0
121/167,Lairon [Metal] [C - Common] (Non-Foil),0.25,0.5
121/167,Lairon [Metal] [C - Common] (Reverse Holo),0.39,1.0
122/167,Aggron [Metal] [U - Uncommon] (Non-Foil),0.25,0.5
122/167,Aggron [Metal] [U - Uncommon] (Reverse Holo),0.49,1.0
123/167,Heatran [Metal] [R - Rare] (Foil),0.49,0.7
123/167,Heatran [Metal] [R - Rare] (Reverse Holo),0.75,1.0
124/167,Varoom [Metal] [C - Common] (Non-Foil),0.25,0.5
124/167,Varoom [Metal] [C - Common] (Reverse Holo),0.35,1.0
