ID,Shopify Name,Sawadeekard Name,Before,Change,After
070/197,[ENG]	SV03	Obsidian Flames:	071/197	Toxel	C	(Non-Foil),Thundurus R (Reverse Holo),0.5,0.5,1.0
071/197,[ENG]	SV03	Obsidian Flames:	071/197	Toxel	C	(Reverse Holo),Toxel C (Non-Foil),1.0,-0.5,0.5
071/197,[ENG]	SV03	Obsidian Flames:	072/197	Toxtricity	R	(Foil),Toxel C (Reverse Holo),0.8,0.19999999999999996,1.0
072/197,[ENG]	SV03	Obsidian Flames:	072/197	Toxtricity	R	(Reverse Holo),Toxtricity R (Foil),1.5,-1.0,0.5
072/197,[ENG]	SV03	Obsidian Flames:	073/197	Pawmot ex	RR	(Foil),Toxtricity R (Reverse Holo),2.0,-1.0,1.0
073/197,[ENG]	SV03	Obsidian Flames:	074/197	Tadbulb	C	(Non-Foil),Pawmot ex RR (Foil),0.5,1.5,2.0
074/197,[ENG]	SV03	Obsidian Flames:	074/197	Tadbulb	C	(Reverse Holo),Tadbulb C (Non-Foil),1.5,-1.0,0.5
074/197,[ENG]	SV03	Obsidian Flames:	075/197	Tadbulb	C	(Reverse Holo),Tadbulb C (Reverse Holo),1.0,0.0,1.0
075/197,[ENG]	SV03	Obsidian Flames:	076/197	Tadbulb	C	(Non-Foil),Tadbulb C (Non-Foil),0.5,0.0,0.5
075/197,[ENG]	SV03	Obsidian Flames:	076/197	Tadbulb	C	(Reverse Holo),Tadbulb C (Reverse Holo),1.0,0.0,1.0
076/197,[ENG]	SV03	Obsidian Flames:	077/197	Bellibolt	U	(Non-Foil),Tadbulb C (Non-Foil),0.5,0.0,0.5
076/197,[ENG]	SV03	Obsidian Flames:	077/197	Bellibolt	U	(Reverse Holo),Tadbulb C (Reverse Holo),1.0,0.0,1.0
077/197,[ENG]	SV03	Obsidian Flames:	078/197	Bellibolt	U	(Non-Foil),Bellibolt U (Non-Foil),0.5,0.0,0.5
077/197,[ENG]	SV03	Obsidian Flames:	078/197	Bellibolt	U	(Reverse Holo),Bellibolt U (Reverse Holo),1.5,-0.5,1.0
078/197,[ENG]	SV03	Obsidian Flames:	079/197	Miraidon ex	RR	(Foil),Bellibolt U (Non-Foil),2.0,-1.5,0.5
078/197,[ENG]	SV03	Obsidian Flames:	080/197	Cleffa	C	(Non-Foil),Bellibolt U (Reverse Holo),0.5,0.5,1.0
079/197,[ENG]	SV03	Obsidian Flames:	080/197	Cleffa	C	(Reverse Holo),Miraidon ex RR (Foil),1.0,1.0,2.0
080/197,[ENG]	SV03	Obsidian Flames:	081/197	Clefairy	C	(Non-Foil),Cleffa C (Non-Foil),0.5,0.5,1.0
080/197,[ENG]	SV03	Obsidian Flames:	081/197	Clefairy	C	(Reverse Holo),Cleffa C (Reverse Holo),1.0,0.0,1.0
081/197,[ENG]	SV03	Obsidian Flames:	082/197	Clefable ex	RR	(Foil),Clefairy C (Non-Foil),2.0,-1.5,0.5
081/197,[ENG]	SV03	Obsidian Flames:	083/197	Togepi	C	(Non-Foil),Clefairy C (Reverse Holo),0.5,0.5,1.0
082/197,[ENG]	SV03	Obsidian Flames:	083/197	Togepi	C	(Reverse Holo),Clefable ex RR (Foil),1.0,1.0,2.0
083/197,[ENG]	SV03	Obsidian Flames:	084/197	Togetic	U	(Non-Foil),Togepi C (Non-Foil),0.5,0.0,0.5
083/197,[ENG]	SV03	Obsidian Flames:	084/197	Togetic	U	(Reverse Holo),Togepi C (Reverse Holo),1.0,0.0,1.0
084/197,[ENG]	SV03	Obsidian Flames:	085/197	Togekiss	R	(Foil),Togetic U (Non-Foil),0.8,-0.30000000000000004,0.5
084/197,[ENG]	SV03	Obsidian Flames:	085/197	Togekiss	R	(Reverse Holo),Togetic U (Reverse Holo),1.5,-0.5,1.0
085/197,[ENG]	SV03	Obsidian Flames:	086/197	Espeon	U	(Reverse Holo),Togekiss R (Foil),1.5,-1.0,0.5
085/197,[ENG]	SV03	Obsidian Flames:	087/197	Snubbull	C	(Non-Foil),Togekiss R (Reverse Holo),0.5,0.5,1.0
086/197,[ENG]	SV03	Obsidian Flames:	087/197	Snubbull	C	(Reverse Holo),Espeon U (Non-Foil),1.0,-0.5,0.5
086/197,[ENG]	SV03	Obsidian Flames:	088/197	Granbull	U	(Non-Foil),Espeon U (Reverse Holo),0.5,0.5,1.0
087/197,[ENG]	SV03	Obsidian Flames:	088/197	Granbull	U	(Reverse Holo),Snubbull C (Non-Foil),1.0,-0.5,0.5
087/197,[ENG]	SV03	Obsidian Flames:	089/197	Mawile	C	(Non-Foil),Snubbull C (Reverse Holo),0.5,0.5,1.0
088/197,[ENG]	SV03	Obsidian Flames:	089/197	Mawile	C	(Reverse Holo),Granbull U (Non-Foil),1.0,-0.5,0.5
088/197,[ENG]	SV03	Obsidian Flames:	090/197	Spoink	C	(Non-Foil),Granbull U (Reverse Holo),0.5,0.5,1.0
089/197,[ENG]	SV03	Obsidian Flames:	090/197	Spoink	C	(Reverse Holo),Mawile C (Non-Foil),1.0,-0.5,0.5
089/197,[ENG]	SV03	Obsidian Flames:	091/197	Grumpig	U	(Non-Foil),Mawile C (Reverse Holo),0.5,0.5,1.0
090/197,[ENG]	SV03	Obsidian Flames:	091/197	Grumpig	U	(Reverse Holo),Spoink C (Non-Foil),1.0,-0.5,0.5
090/197,[ENG]	SV03	Obsidian Flames:	092/197	Lunatone	U	(Non-Foil),Spoink C (Reverse Holo),0.5,0.5,1.0
091/197,[ENG]	SV03	Obsidian Flames:	092/197	Lunatone	U	(Reverse Holo),Grumpig U (Non-Foil),1.5,-1.0,0.5
091/197,[ENG]	SV03	Obsidian Flames:	093/197	Solrock	U	(Non-Foil),Grumpig U (Reverse Holo),0.5,0.5,1.0
092/197,[ENG]	SV03	Obsidian Flames:	093/197	Solrock	U	(Reverse Holo),Lunatone U (Non-Foil),1.0,-0.5,0.5
092/197,[ENG]	SV03	Obsidian Flames:	094/197	Baltoy	C	(Non-Foil),Lunatone U (Reverse Holo),0.5,0.5,1.0
093/197,[ENG]	SV03	Obsidian Flames:	094/197	Baltoy	C	(Reverse Holo),Solrock U (Non-Foil),1.0,-0.5,0.5
093/197,[ENG]	SV03	Obsidian Flames:	095/197	Claydol	R	(Foil),Solrock U (Reverse Holo),0.8,0.19999999999999996,1.0
094/197,[ENG]	SV03	Obsidian Flames:	095/197	Claydol	R	(Reverse Holo),Baltoy C (Non-Foil),1.0,-0.5,0.5
094/197,[ENG]	SV03	Obsidian Flames:	096/197	Vespiquen ex	RR	(Foil),Baltoy C (Reverse Holo),2.0,-1.0,1.0
095/197,[ENG]	SV03	Obsidian Flames:	097/197	Sinistea	C	(Non-Foil),Claydol R (Foil),0.5,0.0,0.5
095/197,[ENG]	SV03	Obsidian Flames:	097/197	Sinistea	C	(Reverse Holo),Claydol R (Reverse Holo),1.0,0.0,1.0
096/197,[ENG]	SV03	Obsidian Flames:	098/197	Polteageist	U	(Non-Foil),Vespiquen ex RR (Foil),0.5,1.5,2.0
097/197,[ENG]	SV03	Obsidian Flames:	098/197	Polteageist	U	(Reverse Holo),Sinistea C (Non-Foil),1.5,-1.0,0.5
097/197,[ENG]	SV03	Obsidian Flames:	099/197	Greavard	C	(Non-Foil),Sinistea C (Reverse Holo),0.5,0.5,1.0
098/197,[ENG]	SV03	Obsidian Flames:	099/197	Greavard	C	(Reverse Holo),Polteageist U (Non-Foil),1.5,-1.0,0.5
