ID,Name,Price in USD,Price in SGD
087/091,Professor's Research Professor Sada [Supporter] [R - Rare] (Reverse Holo),0.59,1.0
088/091,Professor's Research Professor Turo [Supporter] [R - Rare] (Foil),0.35,0.5
088/091,Professor's Research Professor Turo [Supporter] [R - Rare] (Reverse Holo),0.35,1.0
089/091,Rare Candy [Item] [C - Common] (Non-Foil),0.39,0.5
089/091,Rare Candy [Item] [C - Common] (Reverse Holo),0.39,1.0
090/091,Technical Machine: Crisis Punch [Pokemon Tool] [U - Uncommon] (Non-Foil),0.25,0.5
090/091,Technical Machine: Crisis Punch [Pokemon Tool] [U - Uncommon] (Reverse Holo),0.49,1.0
091/091,Ultra Ball [Item] [U - Uncommon] (Non-Foil),0.39,0.5
091/091,Ultra Ball [Item] [U - Uncommon] (Reverse Holo),0.99,1.3
092/091,Oddish [Grass] [SR - Shiny Rare] (Foil),6.49,8.8
093/091,Gloom [Grass] [SR - Shiny Rare] (Foil),3.99,5.4
094/091,Vileplume [Grass] [SR - Shiny Rare] (Foil),7.99,10.9
095/091,Scyther [Grass] [SR - Shiny Rare] (Foil),7.99,10.9
096/091,Hoppip [Grass] [SR - Shiny Rare] (Foil),3.99,5.4
097/091,Skiploom [Grass] [SR - Shiny Rare] (Foil),4.49,6.1
098/091,Jumpluff [Grass] [SR - Shiny Rare] (Foil),3.99,5.4
099/091,Pineco [Grass] [SR - Shiny Rare] (Foil),3.99,5.4
100/091,Snover [Grass] [SR - Shiny Rare] (Foil),4.49,6.1
101/091,Abomasnow [Grass] [SR - Shiny Rare] (Foil),3.49,4.7
102/091,Smoliv [Grass] [SR - Shiny Rare] (Foil),4.99,6.8
103/091,Dolliv [Grass] [SR - Shiny Rare] (Foil),3.49,4.7
104/091,Arboliva [Grass] [SR - Shiny Rare] (Foil),3.49,4.7
105/091,Toedscool [Grass] [SR - Shiny Rare] (Foil),3.49,4.7
106/091,Capsakid [Grass] [SR - Shiny Rare] (Foil),2.49,3.4
107/091,Scovillian [Grass] [SR - Shiny Rare] (Foil),3.49,4.7
108/091,Rellor [Grass] [SR - Shiny Rare] (Foil),3.99,5.4
109/091,Charmander [Fire] [SR - Shiny Rare] (Foil),29.99,40.8
110/091,Charmeleon [Fire] [SR - Shiny Rare] (Foil),24.99,34.0
111/091,Paldean Tauros [Fire] [SR - Shiny Rare] (Foil),3.99,5.4
112/091,Entei [Fire] [SR - Shiny Rare] (Foil),9.99,13.6
113/091,Oricorio [Fire] [SR - Shiny Rare] (Foil),2.99,4.1
114/091,Charcadet [Fire] [SR - Shiny Rare] (Foil),5.49,7.5
115/091,Armarouge [Fire] [SR - Shiny Rare] (Foil),4.99,6.8
116/091,Slowpoke [Water] [SR - Shiny Rare] (Foil),6.49,8.8
117/091,Slowbro [Water] [SR - Shiny Rare] (Foil),6.99,9.5
118/091,Staryu [Water] [SR - Shiny Rare] (Foil),5.49,7.5
119/091,Starmie [Water] [SR - Shiny Rare] (Foil),3.99,5.4
120/091,Paldean Tauros [Water] [SR - Shiny Rare] (Foil),4.99,6.8
121/091,Wiglett [Water] [SR - Shiny Rare] (Foil),3.99,5.4
122/091,Wugtrio [Water] [SR - Shiny Rare] (Foil),3.99,5.4
123/091,Finizen [Water] [SR - Shiny Rare] (Foil),6.49,8.8
124/091,Palafin [Water] [SR - Shiny Rare] (Foil),3.99,5.4
125/091,Veluza [Water] [SR - Shiny Rare] (Foil),3.49,4.7
126/091,Dondozo [Water] [SR - Shiny Rare] (Foil),3.99,5.4
127/091,Tatsugiri [Water] [SR - Shiny Rare] (Foil),3.99,5.4
128/091,Frigibax [Water] [SR - Shiny Rare] (Foil),7.99,10.9
129/091,Arctibax [Water] [SR - Shiny Rare] (Foil),3.99,5.4
130/091,Baxcalibur [Water] [SR - Shiny Rare] (Foil),6.49,8.8
131/091,Pikachu [Lightning] [SR - Shiny Rare] (Foil),44.99,61.1
132/091,Raichu [Lightning] [SR - Shiny Rare] (Foil),9.99,13.6
133/091,Voltorb [Lightning] [SR - Shiny Rare] (Foil),4.49,6.1
134/091,Electrode [Lightning] [SR - Shiny Rare] (Foil),4.99,6.8
135/091,Shinx [Lightning] [SR - Shiny Rare] (Foil),5.99,8.1
136/091,Luxio [Lightning] [SR - Shiny Rare] (Foil),4.49,6.1
137/091,Luxray [Lightning] [SR - Shiny Rare] (Foil),7.99,10.9
138/091,Pachirisu [Lightning] [SR - Shiny Rare] (Foil),4.99,6.8
139/091,Thundurus [Lightning] [SR - Shiny Rare] (Foil),3.49,4.7
140/091,Toxel [Lightning] [SR - Shiny Rare] (Foil),3.49,4.7
141/091,Toxtricity [Lightning] [SR - Shiny Rare] (Foil),3.49,4.7
142/091,Pawmi [Lightning] [SR - Shiny Rare] (Foil),3.49,4.7
143/091,Pawmo [Lightning] [SR - Shiny Rare] (Foil),2.99,4.1
144/091,Pawmot [Lightning] [SR - Shiny Rare] (Foil),3.29,4.5
145/091,Wattrel [Lightning] [SR - Shiny Rare] (Foil),3.49,4.7
